model,scene,n_cams,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
yolo26n-pose,171204_pose6,4,5.668216235443548,0.9642022046542701,5.51232371659616,0.9800964683705716,0.9841888431132391,0.04233007683753877,0.015885333761749727,7.569548623581938e-05,0.005468614327158876,2.0617376715126266e-05,0.00044526993019760333
yolo26n-pose,171204_pose6,8,2.788066936845262,0.9766729762832647,2.7533084080943584,0.9793431335045631,0.997717403407193,0.08170570211707276,0.0312761093001471,0.0001387236655701871,0.009372318663852072,6.460518641820685e-05,0.0005865011730415795
yolo26n-pose,171204_pose6,12,2.514680804620998,0.16117358868722864,2.514680804620998,0.9673877946399742,0.16679657053780203,0.13952901426528697,0.04520738190173215,0.00033314854940814687,0.012791119330409755,6.0690039194406506e-05,0.0006309522856536544
yolo26n-pose,171204_pose6,16,2.2425345125009986,0.1578888765170916,2.2425345125009986,0.9493029150823827,0.16679657053780203,0.19509148228591447,0.058612680173093214,0.00023777692931386965,0.01603958865888516,8.502645510684449e-05,0.000688392484986768
yolo26n-pose,161029_piano4,4,3.6941124008152313,0.9867147038955191,3.6941124008152313,0.9868888888888889,1.0,0.05208443032662358,0.014549965146152923,5.6361873905795315e-05,0.005263225710595078,2.27043756038054e-05,0.000484109131903905
yolo26n-pose,161029_piano4,8,2.558708462604383,0.9867147038955191,2.558708462604383,0.9868888888888889,1.0,0.08393308910778595,0.02831194108850064,8.657816319545317e-05,0.008467225754057936,3.3155534086593734e-05,0.0006266181528335437
yolo26n-pose,161029_piano4,12,2.445136093913507,0.9867147038955191,2.445136093913507,0.9868888888888889,1.0,0.12666015728416258,0.037243673612900444,0.0001115130568246564,0.010890340664605093,8.203859285115161e-05,0.0006695773888819127
yolo26n-pose,161029_piano4,16,2.0963414536937526,0.9867147038955191,2.0963414536937526,0.9868888888888889,1.0,0.17488540978689626,0.050181636038326864,0.00016425879751073405,0.013833653171896004,6.21759689723452e-05,0.0006814419789265635
yolo26n-pose,170915_office1,4,5.244644041238844,0.9904231625835189,5.19206949072773,0.9962062039723276,0.9942093541202672,0.04194878723513749,0.016499245819105352,4.946108885471606e-05,0.005506831550660233,1.6822602412301218e-05,0.00045503959595872504
yolo26n-pose,170915_office1,8,3.1911275518272384,0.9991091314031181,3.1883666540955438,0.9993321460373998,0.9997772828507795,0.08543524816296606,0.029739395583139008,7.19925545854494e-05,0.008782752331663183,2.6569113685076848e-05,0.0005979910933917078
yolo26n-pose,170915_office1,12,3.2115986977449302,0.9991091314031181,3.208842359706182,0.9993321460373998,0.9997772828507795,0.12823238353553462,0.038139849394915576,0.00012056842243247148,0.010943609745241702,3.79644215055224e-05,0.0006524863013829519
yolo26n-pose,170915_office1,16,3.2373182450413114,0.9855233853006682,3.225415050264094,0.9865845612491753,0.9991091314031181,0.17334380133092378,0.050373207298967625,0.0001470128871474622,0.013890714163031791,4.788825673879021e-05,0.0006856764656905499
yolo26n-pose,161029_build1,4,5.934284280258974,0.4363947518539646,5.3506662664448825,0.9594594594594594,0.45564746149458074,0.043224043592932124,0.019909513159875006,5.583290601566131e-05,0.010778155006068288,2.381006978434608e-05,0.0004568802102619165
yolo26n-pose,161029_build1,8,3.003427949104183,0.47162007986309185,2.894593542038065,0.9867530173682661,0.4780376497432972,0.08518149859700379,0.03612690819321616,7.848298581700154e-05,0.016416956524098653,2.974052812808009e-05,0.0005955700954790552
yolo26n-pose,161029_build1,12,2.9423431052034767,0.4713348545350827,2.8367881396092076,0.9858865039694208,0.47818026240730177,0.13988467210462638,0.05065581104246057,0.00010336614097130138,0.02122551716811993,3.8983213126748735e-05,0.0006501202336356834
yolo26n-pose,161029_build1,16,2.650470425438506,0.4718339988590987,2.595962250960822,0.9859010133646644,0.47867940673131776,0.18293883760235857,0.06562673277609107,0.00018457919238223206,0.02768343274976867,6.004596074236297e-05,0.0006850419271274384
yolo26n-pose,160224_haggling1,4,6.651254495532371,0.8855405031794304,5.270671250935761,0.9362571506401526,0.950235001382361,0.04277597518007193,0.016394959038829742,0.00027114325805256765,0.012751910725235939,5.4344980259581155e-05,0.0004327236882178113
yolo26n-pose,160224_haggling1,8,3.2953532007900903,0.8382637544926734,3.1657037555951817,0.8644581209731705,0.9941387890517003,0.08360159278600476,0.031217276219635583,0.00023025614282426736,0.02057729886586312,6.493191406286012e-05,0.0005637707327686561
yolo26n-pose,160224_haggling1,12,3.1097085745699258,0.8367155100912358,2.9676966132814298,0.8634704073789393,0.9938623168371579,0.12767076774804542,0.04442511006193624,0.00026721134843149535,0.02647555627571419,7.183086429334556e-05,0.0006219720541344335
yolo26n-pose,160224_haggling1,16,2.651915540965258,0.8260436826098977,2.415697912174378,0.855098645115284,0.9945811445949682,0.17636128627346284,0.058836533337055394,0.00022681030874373393,0.03366564218372805,9.162709617521614e-05,0.0006420500236408164
yolo26s-pose,171204_pose6,4,4.804761656177573,0.9645919162676762,4.653871516863214,0.9785130357931948,0.9862487473555284,0.09038434831849783,0.017559931632873674,7.88359969140744e-05,0.005987313668603416,2.5416199982698474e-05,0.0004831670673424983
yolo26s-pose,161029_piano4,4,4.799941514366291,0.9867147038955191,4.799941514366291,0.9868888888888889,1.0,0.08569421663283397,0.016299044326697994,7.476576276692665e-05,0.005707053356687538,1.8546901766159054e-05,0.000530533963879053
yolo26s-pose,170915_office1,4,5.097483221538198,0.9930957683741648,5.060285261378187,0.9975451908056238,0.9955456570155902,0.08599368611502642,0.017793496502673305,8.076846206353771e-05,0.0061193632737397115,2.4106552242301404e-05,0.0005236319991527125
